"UF","Referência","Quantidade total de famílias inscritas no Cadastro Único","Quantidade de famílias em situação de pobreza, segundo a faixa do Programa Bolsa Família*, inscritas no Cadastro Único","Quantidade de famílias de baixa renda** inscritas no Cadastro Único","Quantidade de famílias com renda per capita mensal até meio salário-mínimo (Pobreza + Baixa renda) inscritas no Cadastro Único","Quantidade de famílias com renda per capita mensal acima de meio salário-mínimo*** inscritas no Cadastro Único"
"SP","10/2013","70448","42355","17838","60193","10255"
"SP","11/2013","71137","42419","18089","60508","10629"
"SP","12/2013","71604","42334","18326","60660","10944"
"SP","03/2014","72481","42207","19719","61926","10555"
"SP","01/2014","71889","42277","19372","61649","10240"
"SP","02/2014","72120","42205","19514","61719","10401"
"SP","04/2014","72816","42158","19949","62107","10709"
"SP","05/2014","73122","44261","18043","62304","10818"
"SP","06/2014","73528","44288","18251","62539","10989"
"SP","07/2014","73840","44313","18437","62750","11090"
"SP","08/2014","74323","44258","18758","63016","11307"
"SP","09/2014","74683","44271","18908","63179","11504"
"SP","10/2014","75388","44462","19153","63615","11773"
"SP","11/2014","75985","44573","19303","63876","12109"
"SP","12/2014","76680","44761","19493","64254","12426"
"SP","03/2015","66403","35660","18786","54446","11957"
"SP","01/2015","64750","35152","18310","53462","11288"
"SP","02/2015","65483","35367","18524","53891","11592"
"SP","04/2015","67299","35991","18998","54989","12310"
"SP","05/2015","68560","36335","19347","55682","12878"
"SP","06/2015","69306","36491","19612","56103","13203"
"SP","07/2015","65357","33843","18428","52271","13086"
"SP","08/2015","66256","34052","18800","52852","13404"
"SP","09/2015","67142","34296","19107","53403","13739"
"SP","10/2015","68037","34502","19451","53953","14084"
"SP","11/2015","68770","34734","19667","54401","14369"
"SP","12/2015","69645","35045","19920","54965","14680"
"SP","01/2016","64847","32074","20429","52503","12344"
"SP","02/2016","65675","32526","20580","53106","12569"
"SP","03/2016","66759","33131","20784","53915","12844"
"SP","04/2016","68168","33992","21022","55014","13154"
"SP","05/2016","69360","34719","21244","55963","13397"
"SP","06/2016","70624","37068","19810","56878","13746"
