"UF","Referência","Famílias","Valor Total Repassado do Auxílio Brasil","Benefício médio recebido pelas famílias do Auxílio Brasil"
"SP","11/2021","40864","8902106,00","217,85"
"SP","12/2021","40777","8878806","217,74"
"SP","01/2022","51942","10702945","206,06"
"SP","02/2022","54114","11528566,00","213,13"
"SP","03/2022","52333","11154919","213,16"
"SP","04/2022","52186","11107423,00","212,85"
"SP","05/2022","53027","11274146","212,65"
"SP","06/2022","52618","11052670","210,09"
"SP","07/2022","52431","21244118,00","406,56"
"SP","08/2022","58100","35099411","605,99"
"SP","09/2022","58268","35296403,00","605,84"
"SP","10/2022","59961","36346872","606,23"
"SP","11/2022","62070","37578623","605,45"
"SP","12/2022","61097","36983165","605,37"
"SP","01/2023","63026","39138633","621,04"
"SP","02/2023","62850","38047133","605,47"
