,Referência,Famílias beneficiárias,Valor médio do benefício,Referência_formatada,UF,Famílias no CadUnico,Famílias elegíveis ao PBF,Famílias de baixa renda,Quantidade de famílias com renda per capita mensal até meio salário-mínimo (Pobreza + Baixa renda) inscritas no Cadastro Único,Quantidade de famílias com renda per capita mensal acima de meio salário-mínimo*** inscritas no Cadastro Único
0,01/2018,35752,171.27,2018-01-01,SP,75549,42215,18150,60365,15184
1,02/2018,36190,171.29,2018-02-01,SP,76783,42815,18388,61203,15580
2,03/2018,36857,168.92,2018-03-01,SP,73426,45746,17289,58540,14886
3,04/2018,34411,168.97,2018-04-01,SP,74650,41819,17556,59375,15275
4,05/2018,34773,170.29,2018-05-01,SP,76506,42595,17984,60579,15927
5,06/2018,34647,170.74,2018-06-01,SP,77806,43104,18282,61386,16420
6,07/2018,34373,181.08,2018-07-01,SP,79172,44184,18115,62299,16873
7,08/2018,35337,178.77,2018-08-01,SP,74041,43508,15386,58894,15147
8,09/2018,34439,179.05,2018-09-01,SP,75411,44092,15631,59723,15688
9,10/2018,35339,179.07,2018-10-01,SP,77376,44494,16558,61052,16324
10,11/2018,36811,178.9,2018-11-01,SP,78893,44973,16960,61933,16960
11,12/2018,36484,176.51,2018-12-01,SP,75817,47139,16062,59160,16657
12,01/2019,34928,179.07,2019-01-01,SP,77540,47982,16378,60391,17149
13,02/2019,35695,178.81,2019-02-01,SP,79113,48812,16683,61471,17642
14,03/2019,37015,180.99,2019-03-01,SP,80374,49423,17031,62352,18022
15,04/2019,37226,177.8,2019-04-01,SP,78812,48289,16661,60971,17841
16,05/2019,38182,178.38,2019-05-01,SP,80025,48905,16852,61727,18298
17,06/2019,37266,178.17,2019-06-01,SP,81674,49744,17169,62832,18842
18,07/2019,36083,180.85,2019-07-01,SP,82847,50211,17453,63519,19328
19,08/2019,36041,180.11,2019-08-01,SP,84583,50831,17869,64464,20119
20,09/2019,34942,180.79,2019-09-01,SP,79993,48356,15921,60592,19401
21,10/2019,34918,181.04,2019-10-01,SP,81965,49243,16314,61788,20177
22,11/2019,33772,181.6,2019-11-01,SP,83371,49987,16555,62716,20655
23,12/2019,33820,182.2,2019-12-01,SP,84558,50536,16721,63391,21167
