,Referência,Famílias,Valor médio do benefício,Referência_formatada
0,01/2018,35752,171.27,2018-01-01
1,02/2018,36190,171.29,2018-02-01
2,03/2018,36857,168.92,2018-03-01
3,04/2018,34411,168.97,2018-04-01
4,05/2018,34773,170.29,2018-05-01
5,06/2018,34647,170.74,2018-06-01
6,07/2018,34373,181.08,2018-07-01
7,08/2018,35337,178.77,2018-08-01
8,09/2018,34439,179.05,2018-09-01
9,10/2018,35339,179.07,2018-10-01
10,11/2018,36811,178.9,2018-11-01
11,12/2018,36484,176.51,2018-12-01
12,01/2019,34928,179.07,2019-01-01
13,02/2019,35695,178.81,2019-02-01
14,03/2019,37015,180.99,2019-03-01
15,04/2019,37226,177.8,2019-04-01
16,05/2019,38182,178.38,2019-05-01
17,06/2019,37266,178.17,2019-06-01
18,07/2019,36083,180.85,2019-07-01
19,08/2019,36041,180.11,2019-08-01
20,09/2019,34942,180.79,2019-09-01
21,10/2019,34918,181.04,2019-10-01
22,11/2019,33772,181.6,2019-11-01
23,12/2019,33820,182.2,2019-12-01
24,01/2020,33748,182.76,2020-01-01
25,02/2020,33722,181.99,2020-02-01
26,03/2020,31955,184.12,2020-03-01
27,04/2020,40137,15.59,2020-04-01
28,05/2020,40110,13.37,2020-05-01
29,06/2020,40110,13.23,2020-06-01
30,07/2020,40110,13.84,2020-07-01
31,08/2020,40110,13.09,2020-08-01
32,09/2020,40062,29.22,2020-09-01
33,10/2020,40062,31.56,2020-10-01
34,11/2020,40062,33.58,2020-11-01
35,12/2020,40062,35.62,2020-12-01
36,01/2021,39851,182.61,2021-01-01
37,02/2021,39572,180.57,2021-02-01
38,03/2021,40888,181.53,2021-03-01
39,04/2021,41747,83.45,2021-04-01
40,05/2021,41749,84.88,2021-05-01
41,06/2021,41748,86.21,2021-06-01
42,07/2021,41748,87.61,2021-07-01
43,08/2021,41553,89.45,2021-08-01
44,09/2021,41553,91.56,2021-09-01
45,10/2021,41553,93.51,2021-10-01
46,11/2021,40864,217.85,2021-11-01
47,12/2021,40777,217.74,2021-12-01
48,01/2022,51942,206.06,2022-01-01
49,02/2022,54114,213.13,2022-02-01
50,03/2022,52333,213.16,2022-03-01
51,04/2022,52186,212.85,2022-04-01
52,05/2022,53027,212.65,2022-05-01
53,06/2022,52618,210.09,2022-06-01
54,07/2022,52431,406.56,2022-07-01
55,08/2022,58100,605.99,2022-08-01
56,09/2022,58268,605.84,2022-09-01
57,10/2022,59961,606.23,2022-10-01
58,11/2022,62070,605.45,2022-11-01
59,12/2022,61097,605.37,2022-12-01
60,01/2023,63026,621.04,2023-01-01
61,02/2023,62850,605.47,2023-02-01
62,03/2023,65953,673.73,2023-03-01
63,04/2023,59379,676.82,2023-04-01
64,05/2023,61872,678.93,2023-05-01
65,06/2023,61767,705.33,2023-06-01
66,07/2023,59971,672.71,2023-07-01
67,08/2023,62889,677.13,2023-08-01
68,09/2023,63057,683.13,2023-09-01
69,10/2023,63929,679.51,2023-10-01
70,11/2023,62814,668.81,2023-11-01
